barrio;año;mes;superficie;comuna
Agronomia;2013;Jul;574;15
Agronomia;2013;Ago;320;15
Agronomia;2013;Sep;538;15
Agronomia;2013;Oct;434;15
Agronomia;2013;Nov;363;15
Agronomia;2013;Dic;312;15
Agronomia;2014;Ene;241;15
Agronomia;2014;Feb;170;15
Agronomia;2014;Mar;172;15
Agronomia;2014;Abr;262;15
Agronomia;2014;May;423;15
Agronomia;2014;Jun;352;15
Agronomia;2014;Jul;370;15
Agronomia;2014;Ago;361;15
Agronomia;2014;Sep;335;15
Agronomia;2014;Oct;430;15
Agronomia;2014;Nov;420;15
Agronomia;2014;Dic;261;15
Agronomia;2015;Ene;350;15
Agronomia;2015;Feb;343;15
Agronomia;2015;Mar;156;15
Agronomia;2015;Abr;232;15
Agronomia;2015;May;208;15
Agronomia;2015;Jun;589;15
Agronomia;2015;Jul;478;15
Agronomia;2015;Ago;228;15
Agronomia;2015;Sep;110;15
Agronomia;2015;Oct;0;15
Agronomia;2015;Nov;74;15
Agronomia;2015;Dic;130;15
Agronomia;2016;Ene;281;15
Agronomia;2016;Feb;261;15
Agronomia;2016;Mar;286;15
Agronomia;2016;Abr;488;15
Agronomia;2016;May;260;15
Agronomia;2016;Jun;288;15
Agronomia;2016;Jul;360;15
Agronomia;2016;Ago;104;15
Agronomia;2016;Sep;198;15
Agronomia;2016;Oct;142;15
Agronomia;2016;Nov;148;15
Agronomia;2016;Dic;254;15
Agronomia;2017;Ene;362;15
Agronomia;2017;Feb;227;15
Agronomia;2017;Mar;292;15
Agronomia;2017;Abr;85;15
Agronomia;2017;May;198;15
Agronomia;2017;Jun;227;15
Agronomia;2017;Jul;38;15
Agronomia;2017;Ago;171;15
Agronomia;2017;Sep;0;15
Agronomia;2017;Oct;140;15
Agronomia;2017;Nov;80;15
Agronomia;2017;Dic;124;15
Agronomia;2018;Ene;140;15
Agronomia;2018;Feb;74;15
Agronomia;2018;Mar;137;15
Agronomia;2018;Abr;0;15
Agronomia;2018;May;75;15
Agronomia;2018;Jun;149;15
Agronomia;2018;Jul;182;15
Agronomia;2018;Ago;167;15
Agronomia;2018;Sep;101;15
Agronomia;2018;Oct;168;15
Agronomia;2018;Nov;132;15
Agronomia;2018;Dic;104;15
Agronomia;2019;Ene;74;15
Agronomia;2019;Feb;180;15
Agronomia;2019;Mar;165;15
Agronomia;2019;Abr;0;15
Agronomia;2019;May;267;15
Agronomia;2019;Jun;234;15
Agronomia;2019;Jul;48;15
Agronomia;2019;Ago;158;15
Almagro;2013;Jul;7310;5
Almagro;2013;Ago;5106;5
Almagro;2013;Sep;4763;5
Almagro;2013;Oct;6789;5
Almagro;2013;Nov;6485;5
Almagro;2013;Dic;6636;5
Almagro;2014;Ene;5756;5
Almagro;2014;Feb;7533;5
Almagro;2014;Mar;7115;5
Almagro;2014;Abr;3312;5
Almagro;2014;May;7353;5
Almagro;2014;Jun;3092;5
Almagro;2014;Jul;6355;5
Almagro;2014;Ago;4890;5
Almagro;2014;Sep;5322;5
Almagro;2014;Oct;6704;5
Almagro;2014;Nov;5366;5
Almagro;2014;Dic;5170;5
Almagro;2015;Ene;4584;5
Almagro;2015;Feb;3703;5
Almagro;2015;Mar;4813;5
Almagro;2015;Abr;4351;5
Almagro;2015;May;3165;5
Almagro;2015;Jun;5504;5
Almagro;2015;Jul;4786;5
Almagro;2015;Ago;4057;5
Almagro;2015;Sep;3106;5
Almagro;2015;Oct;3897;5
Almagro;2015;Nov;2609;5
Almagro;2015;Dic;2331;5
Almagro;2016;Ene;3181;5
Almagro;2016;Feb;2968;5
Almagro;2016;Mar;3806;5
Almagro;2016;Abr;3397;5
Almagro;2016;May;3611;5
Almagro;2016;Jun;3513;5
Almagro;2016;Jul;3930;5
Almagro;2016;Ago;3864;5
Almagro;2016;Sep;3528;5
Almagro;2016;Oct;3440;5
Almagro;2016;Nov;3656;5
Almagro;2016;Dic;2756;5
Almagro;2017;Ene;2678;5
Almagro;2017;Feb;2790;5
Almagro;2017;Mar;3444;5
Almagro;2017;Abr;2891;5
Almagro;2017;May;3142;5
Almagro;2017;Jun;3298;5
Almagro;2017;Jul;2447;5
Almagro;2017;Ago;2929;5
Almagro;2017;Sep;2067;5
Almagro;2017;Oct;2384;5
Almagro;2017;Nov;2451;5
Almagro;2017;Dic;2651;5
Almagro;2018;Ene;2553;5
Almagro;2018;Feb;2173;5
Almagro;2018;Mar;2345;5
Almagro;2018;Abr;2475;5
Almagro;2018;May;2821;5
Almagro;2018;Jun;3047;5
Almagro;2018;Jul;2685;5
Almagro;2018;Ago;3632;5
Almagro;2018;Sep;3158;5
Almagro;2018;Oct;3348;5
Almagro;2018;Nov;3520;5
Almagro;2018;Dic;2593;5
Almagro;2019;Ene;2790;5
Almagro;2019;Feb;2856;5
Almagro;2019;Mar;2866;5
Almagro;2019;Abr;2444;5
Almagro;2019;May;3123;5
Almagro;2019;Jun;2773;5
Almagro;2019;Jul;2637;5
Almagro;2019;Ago;2858;5
Balvanera;2013;Jul;5089;3
Balvanera;2013;Ago;5893;3
Balvanera;2013;Sep;3636;3
Balvanera;2013;Oct;4589;3
Balvanera;2013;Nov;4481;3
Balvanera;2013;Dic;4488;3
Balvanera;2014;Ene;4086;3
Balvanera;2014;Feb;5709;3
Balvanera;2014;Mar;5606;3
Balvanera;2014;Abr;2600;3
Balvanera;2014;May;5224;3
Balvanera;2014;Jun;3338;3
Balvanera;2014;Jul;5151;3
Balvanera;2014;Ago;4585;3
Balvanera;2014;Sep;3925;3
Balvanera;2014;Oct;4635;3
Balvanera;2014;Nov;3837;3
Balvanera;2014;Dic;2971;3
Balvanera;2015;Ene;2789;3
Balvanera;2015;Feb;3592;3
Balvanera;2015;Mar;3855;3
Balvanera;2015;Abr;2691;3
Balvanera;2015;May;3033;3
Balvanera;2015;Jun;4975;3
Balvanera;2015;Jul;4513;3
Balvanera;2015;Ago;3981;3
Balvanera;2015;Sep;1812;3
Balvanera;2015;Oct;2506;3
Balvanera;2015;Nov;1798;3
Balvanera;2015;Dic;1677;3
Balvanera;2016;Ene;1795;3
Balvanera;2016;Feb;1971;3
Balvanera;2016;Mar;2259;3
Balvanera;2016;Abr;2710;3
Balvanera;2016;May;2699;3
Balvanera;2016;Jun;2558;3
Balvanera;2016;Jul;2499;3
Balvanera;2016;Ago;3097;3
Balvanera;2016;Sep;2214;3
Balvanera;2016;Oct;3199;3
Balvanera;2016;Nov;3399;3
Balvanera;2016;Dic;2389;3
Balvanera;2017;Ene;2722;3
Balvanera;2017;Feb;3066;3
Balvanera;2017;Mar;2631;3
Balvanera;2017;Abr;3260;3
Balvanera;2017;May;2657;3
Balvanera;2017;Jun;2513;3
Balvanera;2017;Jul;2750;3
Balvanera;2017;Ago;2036;3
Balvanera;2017;Sep;2343;3
Balvanera;2017;Oct;1563;3
Balvanera;2017;Nov;2413;3
Balvanera;2017;Dic;1495;3
Balvanera;2018;Ene;1685;3
Balvanera;2018;Feb;2107;3
Balvanera;2018;Mar;2781;3
Balvanera;2018;Abr;1885;3
Balvanera;2018;May;2357;3
Balvanera;2018;Jun;1866;3
Balvanera;2018;Jul;2004;3
Balvanera;2018;Ago;2262;3
Balvanera;2018;Sep;2549;3
Balvanera;2018;Oct;3069;3
Balvanera;2018;Nov;2374;3
Balvanera;2018;Dic;1972;3
Balvanera;2019;Ene;1558;3
Balvanera;2019;Feb;1929;3
Balvanera;2019;Mar;2868;3
Balvanera;2019;Abr;3445;3
Balvanera;2019;May;2979;3
Balvanera;2019;Jun;3135;3
Balvanera;2019;Jul;2784;3
Balvanera;2019;Ago;2524;3
Barracas;2013;Jul;1877;4
Barracas;2013;Ago;1135;4
Barracas;2013;Sep;1215;4
Barracas;2013;Oct;1618;4
Barracas;2013;Nov;798;4
Barracas;2013;Dic;1004;4
Barracas;2014;Ene;822;4
Barracas;2014;Feb;903;4
Barracas;2014;Mar;904;4
Barracas;2014;Abr;662;4
Barracas;2014;May;1293;4
Barracas;2014;Jun;1640;4
Barracas;2014;Jul;797;4
Barracas;2014;Ago;1027;4
Barracas;2014;Sep;1366;4
Barracas;2014;Oct;1267;4
Barracas;2014;Nov;832;4
Barracas;2014;Dic;523;4
Barracas;2015;Ene;265;4
Barracas;2015;Feb;185;4
Barracas;2015;Mar;878;4
Barracas;2015;Abr;247;4
Barracas;2015;May;926;4
Barracas;2015;Jun;1199;4
Barracas;2015;Jul;793;4
Barracas;2015;Ago;642;4
Barracas;2015;Sep;373;4
Barracas;2015;Oct;441;4
Barracas;2015;Nov;124;4
Barracas;2015;Dic;542;4
Barracas;2016;Ene;273;4
Barracas;2016;Feb;325;4
Barracas;2016;Mar;223;4
Barracas;2016;Abr;564;4
Barracas;2016;May;415;4
Barracas;2016;Jun;304;4
Barracas;2016;Jul;444;4
Barracas;2016;Ago;819;4
Barracas;2016;Sep;510;4
Barracas;2016;Oct;563;4
Barracas;2016;Nov;616;4
Barracas;2016;Dic;438;4
Barracas;2017;Ene;755;4
Barracas;2017;Feb;323;4
Barracas;2017;Mar;781;4
Barracas;2017;Abr;262;4
Barracas;2017;May;396;4
Barracas;2017;Jun;324;4
Barracas;2017;Jul;441;4
Barracas;2017;Ago;520;4
Barracas;2017;Sep;504;4
Barracas;2017;Oct;255;4
Barracas;2017;Nov;402;4
Barracas;2017;Dic;327;4
Barracas;2018;Ene;969;4
Barracas;2018;Feb;410;4
Barracas;2018;Mar;772;4
Barracas;2018;Abr;224;4
Barracas;2018;May;474;4
Barracas;2018;Jun;846;4
Barracas;2018;Jul;550;4
Barracas;2018;Ago;300;4
Barracas;2018;Sep;682;4
Barracas;2018;Oct;675;4
Barracas;2018;Nov;625;4
Barracas;2018;Dic;695;4
Barracas;2019;Ene;1062;4
Barracas;2019;Feb;712;4
Barracas;2019;Mar;1177;4
Barracas;2019;Abr;975;4
Barracas;2019;May;606;4
Barracas;2019;Jun;707;4
Barracas;2019;Jul;587;4
Barracas;2019;Ago;658;4
Belgrano;2013;Jul;9897;13
Belgrano;2013;Ago;10140;13
Belgrano;2013;Sep;8518;13
Belgrano;2013;Oct;11900;13
Belgrano;2013;Nov;10701;13
Belgrano;2013;Dic;10855;13
Belgrano;2014;Ene;7646;13
Belgrano;2014;Feb;8985;13
Belgrano;2014;Mar;8355;13
Belgrano;2014;Abr;5393;13
Belgrano;2014;May;10177;13
Belgrano;2014;Jun;9648;13
Belgrano;2014;Jul;11148;13
Belgrano;2014;Ago;10374;13
Belgrano;2014;Sep;10491;13
Belgrano;2014;Oct;11267;13
Belgrano;2014;Nov;8782;13
Belgrano;2014;Dic;6816;13
Belgrano;2015;Ene;7409;13
Belgrano;2015;Feb;9404;13
Belgrano;2015;Mar;9496;13
Belgrano;2015;Abr;8313;13
Belgrano;2015;May;9504;13
Belgrano;2015;Jun;9599;13
Belgrano;2015;Jul;9222;13
Belgrano;2015;Ago;7511;13
Belgrano;2015;Sep;4974;13
Belgrano;2015;Oct;5131;13
Belgrano;2015;Nov;4133;13
Belgrano;2015;Dic;6734;13
Belgrano;2016;Ene;5399;13
Belgrano;2016;Feb;3183;13
Belgrano;2016;Mar;6325;13
Belgrano;2016;Abr;5311;13
Belgrano;2016;May;7469;13
Belgrano;2016;Jun;5905;13
Belgrano;2016;Jul;5133;13
Belgrano;2016;Ago;6157;13
Belgrano;2016;Sep;6841;13
Belgrano;2016;Oct;5608;13
Belgrano;2016;Nov;6898;13
Belgrano;2016;Dic;6859;13
Belgrano;2017;Ene;5823;13
Belgrano;2017;Feb;4947;13
Belgrano;2017;Mar;5904;13
Belgrano;2017;Abr;5530;13
Belgrano;2017;May;7811;13
Belgrano;2017;Jun;6245;13
Belgrano;2017;Jul;6047;13
Belgrano;2017;Ago;6867;13
Belgrano;2017;Sep;5156;13
Belgrano;2017;Oct;4288;13
Belgrano;2017;Nov;6773;13
Belgrano;2017;Dic;6400;13
Belgrano;2018;Ene;5751;13
Belgrano;2018;Feb;4364;13
Belgrano;2018;Mar;6533;13
Belgrano;2018;Abr;5576;13
Belgrano;2018;May;4983;13
Belgrano;2018;Jun;4857;13
Belgrano;2018;Jul;5194;13
Belgrano;2018;Ago;4600;13
Belgrano;2018;Sep;4724;13
Belgrano;2018;Oct;5818;13
Belgrano;2018;Nov;5462;13
Belgrano;2018;Dic;5179;13
Belgrano;2019;Ene;4652;13
Belgrano;2019;Feb;4586;13
Belgrano;2019;Mar;6108;13
Belgrano;2019;Abr;6239;13
Belgrano;2019;May;5303;13
Belgrano;2019;Jun;4196;13
Belgrano;2019;Jul;5411;13
Belgrano;2019;Ago;5341;13
Boca;2013;Jul;511;4
Boca;2013;Ago;121;4
Boca;2013;Sep;282;4
Boca;2013;Oct;363;4
Boca;2013;Nov;624;4
Boca;2013;Dic;257;4
Boca;2014;Ene;404;4
Boca;2014;Feb;289;4
Boca;2014;Mar;200;4
Boca;2014;Abr;123;4
Boca;2014;May;311;4
Boca;2014;Jun;145;4
Boca;2014;Jul;160;4
Boca;2014;Ago;399;4
Boca;2014;Sep;108;4
Boca;2014;Oct;552;4
Boca;2014;Nov;601;4
Boca;2014;Dic;184;4
Boca;2015;Ene;417;4
Boca;2015;Feb;486;4
Boca;2015;Mar;419;4
Boca;2015;Abr;190;4
Boca;2015;May;224;4
Boca;2015;Jun;100;4
Boca;2015;Jul;129;4
Boca;2015;Ago;177;4
Boca;2015;Sep;92;4
Boca;2015;Oct;64;4
Boca;2015;Nov;65;4
Boca;2015;Dic;80;4
Boca;2016;Ene;155;4
Boca;2016;Feb;126;4
Boca;2016;Mar;309;4
Boca;2016;Abr;248;4
Boca;2016;May;367;4
Boca;2016;Jun;944;4
Boca;2016;Jul;330;4
Boca;2016;Ago;716;4
Boca;2016;Sep;823;4
Boca;2016;Oct;580;4
Boca;2016;Nov;221;4
Boca;2016;Dic;228;4
Boca;2017;Ene;462;4
Boca;2017;Feb;230;4
Boca;2017;Mar;162;4
Boca;2017;Abr;222;4
Boca;2017;May;337;4
Boca;2017;Jun;83;4
Boca;2017;Jul;296;4
Boca;2017;Ago;189;4
Boca;2017;Sep;317;4
Boca;2017;Oct;118;4
Boca;2017;Nov;60;4
Boca;2017;Dic;142;4
Boca;2018;Ene;247;4
Boca;2018;Feb;0;4
Boca;2018;Mar;223;4
Boca;2018;Abr;149;4
Boca;2018;May;325;4
Boca;2018;Jun;177;4
Boca;2018;Jul;258;4
Boca;2018;Ago;129;4
Boca;2018;Sep;181;4
Boca;2018;Oct;432;4
Boca;2018;Nov;356;4
Boca;2018;Dic;244;4
Boca;2019;Ene;310;4
Boca;2019;Feb;484;4
Boca;2019;Mar;500;4
